#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 415000      5.25e-02      1.14e-03      4.29e-02    4.6e-06
 416000      4.60e-02      6.12e-04      4.01e-02    4.5e-06
 417000      4.40e-02      7.63e-05      3.98e-02    4.5e-06
 418000      4.60e-02      5.26e-05      4.17e-02    4.3e-06
 419000      5.13e-02      8.57e-04      4.40e-02    4.3e-06
 420000      5.32e-02      5.10e-04      4.76e-02    4.2e-06
 421000      6.30e-02      5.95e-05      5.73e-02    4.2e-06
 422000      5.08e-02      1.77e-04      4.62e-02    4.1e-06
 423000      4.46e-02      3.22e-06      4.07e-02    4.1e-06
 424000      5.08e-02      5.69e-05      4.64e-02    4.0e-06
 425000      6.29e-02      5.71e-04      5.66e-02    4.0e-06
 426000      4.91e-02      5.74e-06      4.50e-02    3.9e-06
 427000      4.52e-02      3.07e-05      4.15e-02    3.9e-06
 428000      9.42e-02      8.22e-04      8.52e-02    3.7e-06
 429000      4.70e-02      3.99e-04      4.25e-02    3.7e-06
 430000      4.61e-02      5.67e-05      4.25e-02    3.6e-06
 431000      4.89e-02      1.16e-03      3.98e-02    3.6e-06
 432000      4.32e-02      3.46e-04      3.93e-02    3.5e-06
 433000      5.36e-02      1.95e-04      4.93e-02    3.5e-06
